location,reviewer_name,is_local_guide,contributor_info,rating,time,text,likes,has_photo,owner_response
Harbour Bay Ferry Terminal,Yosi Charly,True,Local Guide · 102 ulasan · 53 foto,3 bintang,7 tahun lalu,Penumpang ga diizinin masuk keruang tunggu sampe kapalnya udah nyandar di pelabuhan,0,False,
Harbour Bay Ferry Terminal,arsip garden,True,Local Guide · 58 ulasan · 24 foto,4 bintang,Diedit 8 tahun lalu,Pelabuhan ferry yang cukup besar tetapi sepi.,0,False,
Harbour Bay Ferry Terminal,Wike Sulasty,True,Local Guide · 67 ulasan · 359 foto,5 bintang,8 tahun lalu,Tempat yang bagus untuk makan makanan laut.,0,False,
Harbour Bay Ferry Terminal,marno chen,True,Local Guide · 75 ulasan · 157 foto,4 bintang,4 tahun lalu,Bagus,0,False,
Harbour Bay Ferry Terminal,Mela,True,Local Guide · 790 ulasan · 8.909 foto,4 bintang,5 tahun lalu,👍👍👍👍❤️ …,0,False,
Harbour Bay Ferry Terminal,cynthia wulandari,True,Local Guide · 84 ulasan · 1.030 foto,5 bintang,3 tahun lalu,"Pertama kalinya saya ke pelabuhan ini, saat akan berpergian ke kabupaten Karimun Kepri, pelabuhan nya bagus bersih",0,True,
Harbour Bay Ferry Terminal,Tzu-lung Yang,True,Local Guide · 146 ulasan · 16.402 foto,3 bintang,8 tahun lalu,"Perjalanan singkat ke Batam (pijat, belanja, makan) dan naik feri kembali ke Singapura!",1,True,
Harbour Bay Ferry Terminal,Ayaaa.,True,Local Guide · 51 ulasan · 89 foto,5 bintang,2 tahun lalu,Beli tiketnya mudah. Tempat nunggunya juga nyaman. Masuk ke kapalnya juga ga rebutan.,1,False,
Harbour Bay Ferry Terminal,samsuniar arifin,True,Local Guide · 98 ulasan · 1.405 foto,5 bintang,2 tahun lalu,Pelabuhan yg mewah,0,True,
Harbour Bay Ferry Terminal,Rudi Malinta,False,13 ulasan,4 bintang,3 tahun lalu,Pelabuhan internasional,0,False,
Harbour Bay Ferry Terminal,adril syah,True,Local Guide · 85 ulasan · 1 foto,1 bintang,7 tahun lalu,Transportasinya tidak bebas,0,False,
Harbour Bay Ferry Terminal,INSPIRASI ALAM,True,Local Guide · 162 ulasan · 151 foto,3 bintang,6 tahun lalu,"Tempatnya santai, ditepi laut",0,True,
Harbour Bay Ferry Terminal,Siti Zulyanti,False,9 ulasan · 7 foto,1 bintang,4 bulan lalu,"Pelayanannya kurang.

Tgl 9 Maret 2025, pukul 12.30 tujuan tanjung balai Karimun. Saya ada minta tolong kepada petugas penjaga X-ray untuk angkut koper saya, karena keadaan saya lagi hamil dan koper saya berat. Tapi responnya malah menyuruh saya tarok hp. Maksudnya gimana? Kan tas kecil pun udah masuk ke X-Ray, baju atau celana saya ga ada koceknya. Misal saya tarok hp pun, apakah saya bisa angkut koper saya yg lumayan berat itu untuk di X-RAY?.

Padahal petugasnya laki2. Apa karena saya hamil muda dan perut saya ga keliatan besar? Atau karena petugas, bukan tukang angkut?

Karena masnya, saya lemes dan mau jatuh saat masuk kapal. Untuk crew kapalnya baik mau bantuin saya.

Buat masnya semoga nanti istrimu diperlakukan hal yang serupa di transportasi umum yaa 😊",0,False,
Harbour Bay Ferry Terminal,Arif Petualang,True,Local Guide · 2.271 ulasan · 16.586 foto,4 bintang,7 tahun lalu,Pintu masuk keluar pulau Batam ke Singapura,0,False,
Harbour Bay Ferry Terminal,Gerys Adhanisal,True,Local Guide · 51 ulasan · 87 foto,4 bintang,8 tahun lalu,Bersih dan Nyaman,0,False,
Harbour Bay Ferry Terminal,D Muralee,True,Local Guide · 839 ulasan · 1.460 foto,4 bintang,7 tahun lalu,"New Harbour Bay dengan pusat perbelanjaan, tempat makan, dan akomodasi yang lengkap. Objek wisata baru dengan terminal feri baru pasti menjadi daya tarik utama bagi para pengunjung 😀 …",1,False,
Harbour Bay Ferry Terminal,Sony Rusli,True,Local Guide · 113 ulasan · 369 foto,5 bintang,5 tahun lalu,Keren banget deket ama Singapur,0,False,
Harbour Bay Ferry Terminal,ros daeli,True,Local Guide · 86 ulasan · 102 foto,5 bintang,8 tahun lalu,"Lumayan bagus, bersih, dan banyak jajanan oleh2 gitu. Kesini bisa pake taksi atau transBatam",0,False,
Harbour Bay Ferry Terminal,Abel Brata,True,Local Guide · 224 ulasan · 740 foto,5 bintang,5 tahun lalu,Pemandangan matahari terbenam yang indah dari area ini.,0,True,
Harbour Bay Ferry Terminal,Sigit Wahyudi,True,Local Guide · 5 ulasan · 22 foto,5 bintang,4 tahun lalu,"Tempat yang bagus, jalannya mudah dipahami dan tempat pembelian tiketnya juga mudah.",1,True,
Harbour Bay Ferry Terminal,Pehankayyah Abdul,False,4 ulasan,1 bintang,7 tahun lalu,"- Tempat check in sharus nya pas masuk area terminal  area keberangkatan , bukan di lantai 2 supaya penumpang tidak bolak balik

- Sebaiknya VIP lounges bisa digunakan at least 1 jam 30 menit sebelum keberangkatan , bukan 30 menit sebelum nya baru d perbolehkan masuk ke VIP room nya

- Pengalaman saya sejauh ini di berbagai tempat yg pernah saya kunjungi, selalu di sedia in tempat buat Tas Tangan biar tidak kotor ato rusak saat melewati x-ray checking, sayang nya di sini tidak tersedia

- luggage buat VIP class, seharus nya priority , jd gk harus nggu sampe smua penumpang lain habis baru laguge VIP class muncul, dan ini selalu terjadi di sini
- Ini smua pendapat saya saja, kurang lebih mohon maaf",2,False,
Harbour Bay Ferry Terminal,Muhammad Frederiyk,True,Local Guide · 44 ulasan · 4 foto,5 bintang,4 tahun lalu,Suka view seberang nya,1,True,
Harbour Bay Ferry Terminal,abu bakar mohd nor,True,Local Guide · 165 ulasan,4 bintang,3 tahun lalu,"Feri yang lumayan dengan staf yang ramah. Terminal feri di JB Stulang jelek, tapi bagus di Batam.",0,False,
Harbour Bay Ferry Terminal,Nuruzzaman,True,Local Guide · 760 ulasan · 7.828 foto,5 bintang,8 tahun lalu,Tempat yang indah dan mudah untuk berlibur beberapa hari ke tempat yang sejuk dan tenang seperti Batam...,0,True,
Harbour Bay Ferry Terminal,Novi Triandri,True,Local Guide · 4 ulasan · 30 foto,5 bintang,5 tahun lalu,"Pengalaman di Johor Bahru, Malaysia",0,False,
