location,reviewer_name,is_local_guide,contributor_info,rating,time,text,likes,has_photo,owner_response
Batam Centre Ferry Terminal (A),Muhammad Ahsan 5 Muadz bin Jabal,False,3 ulasan · 4 foto,5 bintang,9 tahun lalu,Enak nii kalo mau ke singapore,0,False,
Batam Centre Ferry Terminal (A),Rajen Arasu,True,Local Guide · 169 ulasan · 2.367 foto,1 bintang,setahun lalu,"Very dated International Ferry Terminal, with Arrivals on Level 1 and Departure entry on Level 2. Hassle free and smooth  Arrival and Departure Customs and Immigration processes. Level 1 comprises various ferry operators' counters (for purchasing ferry tickets or check-in);  money changing, Indonesian mobile SIM cards and retail concessionaires. Level 2 comprises mostly  F & B, souvenir and convenience store concessionaires. The Ferry Departures check-in gates leading to the Customs and Immigration are also on Level 2. Not advisable to take a taxi from this terminal unless you are familiar with the local rates of your destination. GRAB taxis are not allowed to pick up passengers from this Terminal due to the control of the taxi cartels here. Alternatively you can proceed to Level 2 and head to the Mega Mall connected by a pedestrian bridge, and book your Grab taxi at the Mall (Lobby A next to the Starbucks).",3,True,
Batam Centre Ferry Terminal (A),Arhab Sadeed,True,Local Guide · 77 ulasan · 28 foto,5 bintang,7 tahun lalu,"Well maintained and easy to navigate. Good services also with a good parking area, for those who drive",0,False,
Batam Centre Ferry Terminal (A),fadhli zulkifli,True,Local Guide · 20 ulasan · 6 foto,1 bintang,seminggu lalu,"⭐ 1/5 — Worst Travel Experience Ever.

Detained Without a Clear Reason.

I have travelled extensively across Europe, Turkey and Southeast Asia, and I can confidently say that this was the worst travel experience I have ever had.

My wife, our child and I travelled to Batam with friends for a simple weekend getaway. We cleared Malaysian Immigration, received our departure clearance and boarded the ferry without any issue.

The moment we arrived at the Batam ferry terminal, a police officer approached us, took our passports and brought our family into a room. Later, our child was allowed to leave with our friends while my wife and I were kept there.

We were made to wait for almost TWO HOURS with no proper explanation.

Only after we repeatedly demanded answers were we told that we were being detained because the Malaysian police had supposedly requested it.

That explanation made absolutely no sense.

If Malaysian authorities had actually placed any restriction on us, how did we clear Malaysian Immigration and legally depart Malaysia without any problem?

The whole situation ruined our trip. We no longer felt comfortable staying in Batam, so we choose to return to Malaysia immediately.

Here is the most shocking part.

When we arrived back in Malaysia, Malaysian Immigration interviewed us. We explained everything and asked what case or issue had caused us to be detained in Batam.

They could not identify any reason for it.

There appeared to be no case or immigration issue involving either of us. They were also puzzled as to why we had been detained after we had already cleared Malaysian Immigration normally.

So I would genuinely like to know:

Why were we detained for almost two hours?

Why were we separated from our child without a clear explanation?

Why were we told that Malaysian police had requested our detention when Malaysian authorities could not identify the reason for it?

Being detained in a foreign country without being clearly told why, especially while travelling with your child, is not something any traveller should have to experience.

What was supposed to be a relaxing weekend getaway turned into an extremely stressful and disturbing experience.

I am sharing this so other travellers are aware of what happened to us, and I sincerely hope the relevant authorities investigate and provide a proper explanation.

For us, this was completely unacceptable and easily the worst travel experience we have ever had.",0,False,
Batam Centre Ferry Terminal (A),Putri,True,Local Guide · 15 ulasan · 7 foto,3 bintang,3 bulan lalu,"Musholla dan toilet berdekatan yg perempuan oke, tapi kenapa toilet nya bau Pesing, tisu tak ada, jadi tak nyaman saat sholat dan ambil wudhu bau Pesing toilet tercium,

Saya juga pernah terpijak paku di mushola, sangat tidak diperhatikan bagian tempat solat di wanita, kebersihan dan rapi itu penting,",0,False,
Batam Centre Ferry Terminal (A),Dhaniar Yusof,False,1 ulasan,3 bintang,5 tahun lalu,"fklopyhtn
saya",0,False,
Batam Centre Ferry Terminal (A),Clifton James,True,Local Guide · 252 ulasan · 59 foto,5 bintang,sebulan lalu,Seems yo get better everyime I come here,0,False,
Batam Centre Ferry Terminal (A),Paska Rio Siregar,True,Local Guide · 193 ulasan · 349 foto,3 bintang,6 tahun lalu,Parkir terbatas saat hari libur.,0,False,
Batam Centre Ferry Terminal (A),Jo Low,True,Local Guide · 55 ulasan · 68 foto,3 bintang,setahun lalu,"If you want to take grab, go to level 2, find the linkway (looks like a shopfront) to Mega Mall. No grabs are allowed to pick up from the ferry taxi stand. Note that the linkway operates only after 10am so better to take a ferry that reaches around 9.30am. No point coming early else you gotta jaywalk across the roads.",5,True,
Batam Centre Ferry Terminal (A),Om Pathak,True,Local Guide · 81 ulasan · 201 foto,4 bintang,3 tahun lalu,👍🏻 …,0,False,
